Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_293_1213,VGND,li1,566.2600,810.5600,0.000094
FILLER_293_1177,VGND,li1,548.7800,810.5600,0.000098
FILLER_293_1175,VGND,li1,546.2500,810.5600,0.000097
FILLER_293_1169,VGND,li1,544.6400,810.5600,0.000097
FILLER_293_1157,VGND,li1,540.5000,810.5600,0.000095
FILLER_293_1145,VGND,li1,534.9800,810.5600,0.000091
FILLER_293_1133,VGND,li1,529.4600,810.5600,0.000087
FILLER_293_1121,VGND,li1,523.9400,810.5600,0.000082
FILLER_293_1119,VGND,li1,520.4900,810.5600,0.000079
FILLER_293_1113,VGND,li1,518.8800,810.5600,0.000079
FILLER_293_1101,VGND,li1,514.7400,810.5600,0.000075
FILLER_293_1089,VGND,li1,509.2200,810.5600,0.000070
FILLER_293_1077,VGND,li1,503.7000,810.5600,0.000066
FILLER_293_1065,VGND,li1,498.1800,810.5600,0.000062
FILLER_293_1062,VGND,li1,494.5000,810.5600,0.000059
FILLER_293_1050,VGND,li1,491.2800,810.5600,0.000057
FILLER_293_1017,VGND,li1,473.5700,810.5600,0.000082
FILLER_293_989,VGND,li1,461.1500,810.5600,0.000116
FILLER_293_977,VGND,li1,457.7000,810.5600,0.000120
FILLER_293_965,VGND,li1,452.1800,810.5600,0.000132
FILLER_293_953,VGND,li1,444.8200,810.5600,0.000147
FILLER_293_951,VGND,li1,443.2100,810.5600,0.000149
FILLER_293_947,VGND,li1,442.0600,810.5600,0.000149
FILLER_293_935,VGND,li1,438.3800,810.5600,0.000153
FILLER_293_923,VGND,li1,432.8600,810.5600,0.000158
FILLER_293_897,VGND,li1,418.6000,810.5600,0.000171
FILLER_293_895,VGND,li1,417.4500,810.5600,0.000171
FILLER_293_887,VGND,li1,415.3800,810.5600,0.000173
FILLER_293_853,VGND,li1,399.2800,810.5600,0.000171
FILLER_293_841,VGND,li1,395.1400,810.5600,0.000169
FILLER_293_834,VGND,li1,390.5400,810.5600,0.000166
FILLER_293_822,VGND,li1,386.4000,810.5600,0.000163
FILLER_293_783,VGND,li1,365.9300,810.5600,0.000129
FILLER_293_779,VGND,li1,364.7800,810.5600,0.000129
FILLER_293_761,VGND,li1,356.0400,810.5600,0.000109
FILLER_293_753,VGND,li1,353.7400,810.5600,0.000101
FILLER_293_741,VGND,li1,349.1400,810.5600,0.000093
FILLER_293_729,VGND,li1,343.6200,810.5600,0.000080
FILLER_293_725,VGND,li1,339.7100,810.5600,0.000071
FILLER_293_699,VGND,li1,327.2900,810.5600,0.000061
FILLER_293_691,VGND,li1,325.2200,810.5600,0.000066
FILLER_293_682,VGND,li1,319.4700,810.5600,0.000074
FILLER_293_671,VGND,li1,314.4100,810.5600,0.000083
FILLER_293_667,VGND,li1,313.2600,810.5600,0.000083
FILLER_293_633,VGND,li1,297.3900,810.5600,0.000095
FILLER_293_615,VGND,li1,288.6500,810.5600,0.000096
FILLER_293_609,VGND,li1,287.0400,810.5600,0.000096
FILLER_293_597,VGND,li1,282.9000,810.5600,0.000096
FILLER_293_585,VGND,li1,277.3800,810.5600,0.000095
FILLER_293_573,VGND,li1,271.8600,810.5600,0.000095
FILLER_293_561,VGND,li1,266.3400,810.5600,0.000094
FILLER_293_559,VGND,li1,262.8900,810.5600,0.000094
FILLER_293_553,VGND,li1,261.2800,810.5600,0.000094
FILLER_293_541,VGND,li1,257.1400,810.5600,0.000093
FILLER_293_529,VGND,li1,251.6200,810.5600,0.000093
FILLER_293_517,VGND,li1,246.1000,810.5600,0.000093
FILLER_293_505,VGND,li1,240.5800,810.5600,0.000092
FILLER_293_503,VGND,li1,237.1300,810.5600,0.000092
FILLER_293_497,VGND,li1,235.5200,810.5600,0.000092
FILLER_293_485,VGND,li1,231.3800,810.5600,0.000091
FILLER_293_473,VGND,li1,225.8600,810.5600,0.000091
FILLER_293_461,VGND,li1,220.3400,810.5600,0.000090
FILLER_293_449,VGND,li1,214.8200,810.5600,0.000090
FILLER_293_447,VGND,li1,211.3700,810.5600,0.000089
FILLER_293_441,VGND,li1,209.7600,810.5600,0.000089
FILLER_293_429,VGND,li1,205.6200,810.5600,0.000089
FILLER_293_417,VGND,li1,200.1000,810.5600,0.000089
FILLER_293_405,VGND,li1,194.5800,810.5600,0.000088
FILLER_293_393,VGND,li1,189.0600,810.5600,0.000088
FILLER_293_380,VGND,li1,183.0800,810.5600,0.000087
FILLER_293_368,VGND,li1,177.5600,810.5600,0.000087
FILLER_293_249,VGND,li1,120.7500,810.5600,0.000345
FILLER_293_237,VGND,li1,117.3000,810.5600,0.000347
FILLER_293_225,VGND,li1,111.7800,810.5600,0.000345
FILLER_293_223,VGND,li1,108.3300,810.5600,0.000344
FILLER_293_211,VGND,li1,105.3400,810.5600,0.000343
FILLER_293_199,VGND,li1,99.8200,810.5600,0.000341
FILLER_293_187,VGND,li1,94.3000,810.5600,0.000339
FILLER_293_175,VGND,li1,88.7800,810.5600,0.000337
FILLER_293_166,VGND,li1,82.3400,810.5600,0.000335
FILLER_293_133,VGND,li1,67.1600,810.5600,0.000306
FILLER_293_89,VGND,li1,47.1500,810.5600,0.000226
FILLER_293_55,VGND,li1,31.0500,810.5600,0.000114
FILLER_293_51,VGND,li1,29.9000,810.5600,0.000114
FILLER_293_39,VGND,li1,26.2200,810.5600,0.000077
FILLER_293_27,VGND,li1,20.7000,810.5600,0.000077
FILLER_293_15,VGND,li1,15.1800,810.5600,0.000077
FILLER_293_3,VGND,li1,9.6600,810.5600,0.000077
FILLER_292_1741,VGND,li1,806.8400,805.1200,0.000001
FILLER_292_1733,VGND,li1,804.5400,805.1200,0.000001
FILLER_292_1721,VGND,li1,799.9400,805.1200,0.000001
FILLER_292_1709,VGND,li1,794.4200,805.1200,0.000001
FILLER_292_1707,VGND,li1,790.9700,805.1200,0.000001
FILLER_292_1701,VGND,li1,789.3600,805.1200,0.000001
FILLER_292_1689,VGND,li1,785.2200,805.1200,0.000001
FILLER_292_1677,VGND,li1,779.7000,805.1200,0.000001
FILLER_292_1665,VGND,li1,774.1800,805.1200,0.000002
FILLER_292_1653,VGND,li1,768.6600,805.1200,0.000002
FILLER_292_1651,VGND,li1,765.2100,805.1200,0.000002
FILLER_292_1645,VGND,li1,763.6000,805.1200,0.000002
FILLER_292_1633,VGND,li1,759.4600,805.1200,0.000003
FILLER_292_1621,VGND,li1,753.9400,805.1200,0.000003
FILLER_292_1609,VGND,li1,748.4200,805.1200,0.000003
FILLER_292_1597,VGND,li1,742.9000,805.1200,0.000004
FILLER_292_1595,VGND,li1,739.4500,805.1200,0.000004
FILLER_292_1589,VGND,li1,737.8400,805.1200,0.000004
FILLER_292_1577,VGND,li1,733.7000,805.1200,0.000004
FILLER_292_1565,VGND,li1,728.1800,805.1200,0.000005
FILLER_292_1553,VGND,li1,722.6600,805.1200,0.000005
FILLER_292_1541,VGND,li1,717.1400,805.1200,0.000005
FILLER_292_1539,VGND,li1,713.6900,805.1200,0.000006
FILLER_292_1533,VGND,li1,712.0800,805.1200,0.000006
FILLER_292_1521,VGND,li1,707.9400,805.1200,0.000006
FILLER_292_1509,VGND,li1,702.4200,805.1200,0.000006
FILLER_292_1497,VGND,li1,696.9000,805.1200,0.000006
FILLER_292_1485,VGND,li1,691.3800,805.1200,0.000007
FILLER_292_1483,VGND,li1,687.9300,805.1200,0.000007
FILLER_292_1477,VGND,li1,686.3200,805.1200,0.000007
FILLER_292_1465,VGND,li1,682.1800,805.1200,0.000007
FILLER_292_1453,VGND,li1,676.6600,805.1200,0.000008
FILLER_292_1441,VGND,li1,671.1400,805.1200,0.000008
FILLER_292_1429,VGND,li1,665.6200,805.1200,0.000008
FILLER_292_1427,VGND,li1,662.1700,805.1200,0.000009
FILLER_292_1421,VGND,li1,660.5600,805.1200,0.000009
FILLER_292_1409,VGND,li1,656.4200,805.1200,0.000009
FILLER_292_1397,VGND,li1,650.9000,805.1200,0.000009
FILLER_292_1385,VGND,li1,645.3800,805.1200,0.000010
FILLER_292_1373,VGND,li1,639.8600,805.1200,0.000010
FILLER_292_1371,VGND,li1,636.4100,805.1200,0.000015
FILLER_292_1365,VGND,li1,634.8000,805.1200,0.000015
FILLER_292_1353,VGND,li1,630.6600,805.1200,0.000019
FILLER_292_1341,VGND,li1,625.1400,805.1200,0.000026
FILLER_292_1329,VGND,li1,619.6200,805.1200,0.000031
FILLER_292_1317,VGND,li1,614.1000,805.1200,0.000037
FILLER_292_1315,VGND,li1,610.6500,805.1200,0.000042
FILLER_292_1309,VGND,li1,609.0400,805.1200,0.000042
FILLER_292_1297,VGND,li1,604.9000,805.1200,0.000047
FILLER_292_1285,VGND,li1,599.3800,805.1200,0.000054
FILLER_292_1273,VGND,li1,593.8600,805.1200,0.000058
FILLER_292_1261,VGND,li1,588.3400,805.1200,0.000064
FILLER_292_1259,VGND,li1,584.8900,805.1200,0.000069
FILLER_292_1253,VGND,li1,583.2800,805.1200,0.000069
FILLER_292_1241,VGND,li1,579.1400,805.1200,0.000074
FILLER_292_1229,VGND,li1,573.6200,805.1200,0.000081
FILLER_292_1217,VGND,li1,568.1000,805.1200,0.000085
FILLER_292_1205,VGND,li1,562.5800,805.1200,0.000091
FILLER_292_1198,VGND,li1,557.9800,805.1200,0.000096
FILLER_292_1191,VGND,li1,553.6100,805.1200,0.000102
FILLER_292_1185,VGND,li1,552.0000,805.1200,0.000102
FILLER_292_1173,VGND,li1,547.8600,805.1200,0.000109
FILLER_292_1161,VGND,li1,542.3400,805.1200,0.000113
FILLER_292_1149,VGND,li1,536.8200,805.1200,0.000119
FILLER_292_1147,VGND,li1,533.3700,805.1200,0.000121
FILLER_292_1143,VGND,li1,532.2200,805.1200,0.000121
FILLER_292_1131,VGND,li1,528.5400,805.1200,0.000118
FILLER_292_1119,VGND,li1,523.0200,805.1200,0.000116
FILLER_292_1105,VGND,li1,515.2000,805.1200,0.000111
FILLER_292_1093,VGND,li1,511.0600,805.1200,0.000108
FILLER_292_1091,VGND,li1,507.6100,805.1200,0.000105
FILLER_292_1083,VGND,li1,505.5400,805.1200,0.000102
FILLER_292_1071,VGND,li1,500.9400,805.1200,0.000098
FILLER_292_1061,VGND,li1,494.0400,805.1200,0.000090
FILLER_292_1048,VGND,li1,488.0600,805.1200,0.000078
FILLER_292_1037,VGND,li1,483.4600,805.1200,0.000091
FILLER_292_1035,VGND,li1,481.8500,805.1200,0.000091
FILLER_292_1020,VGND,li1,475.6400,805.1200,0.000117
FILLER_292_1008,VGND,li1,471.9600,805.1200,0.000134
FILLER_292_998,VGND,li1,464.8300,805.1200,0.000162
FILLER_292_989,VGND,li1,461.1500,805.1200,0.000168
FILLER_292_981,VGND,li1,458.6200,805.1200,0.000175
FILLER_292_937,VGND,li1,437.2300,805.1200,0.000216
FILLER_292_925,VGND,li1,433.7800,805.1200,0.000219
FILLER_292_922,VGND,li1,430.1000,805.1200,0.000222
FILLER_292_914,VGND,li1,427.8000,805.1200,0.000226
FILLER_292_902,VGND,li1,421.1300,805.1200,0.000228
FILLER_292_890,VGND,li1,417.6800,805.1200,0.000229
FILLER_292_878,VGND,li1,412.1600,805.1200,0.000230
FILLER_292_867,VGND,li1,404.5700,805.1200,0.000227
FILLER_292_861,VGND,li1,402.9600,805.1200,0.000225
FILLER_292_849,VGND,li1,398.8200,805.1200,0.000219
FILLER_292_837,VGND,li1,393.3000,805.1200,0.000209
FILLER_292_825,VGND,li1,387.7800,805.1200,0.000202
FILLER_292_813,VGND,li1,382.2600,805.1200,0.000192
FILLER_292_810,VGND,li1,378.5800,805.1200,0.000185
FILLER_292_802,VGND,li1,376.2800,805.1200,0.000178
FILLER_292_790,VGND,li1,371.6800,805.1200,0.000172
FILLER_292_778,VGND,li1,366.1600,805.1200,0.000162
FILLER_292_765,VGND,li1,358.3400,805.1200,0.000146
FILLER_292_752,VGND,li1,352.3600,805.1200,0.000134
FILLER_292_728,VGND,li1,342.2400,805.1200,0.000111
FILLER_292_679,VGND,li1,318.0900,805.1200,0.000133
