Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_293_585,VPWR,li1,277.3800,807.8400,1.799902
FILLER_293_573,VPWR,li1,271.8600,807.8400,1.799903
FILLER_293_561,VPWR,li1,266.3400,807.8400,1.799904
FILLER_293_559,VPWR,li1,262.8900,807.8400,1.799905
FILLER_293_553,VPWR,li1,261.2800,807.8400,1.799905
FILLER_293_541,VPWR,li1,257.1400,807.8400,1.799906
FILLER_293_529,VPWR,li1,251.6200,807.8400,1.799907
FILLER_293_517,VPWR,li1,246.1000,807.8400,1.799908
FILLER_293_505,VPWR,li1,240.5800,807.8400,1.799910
FILLER_293_503,VPWR,li1,237.1300,807.8400,1.799911
FILLER_293_497,VPWR,li1,235.5200,807.8400,1.799911
FILLER_293_485,VPWR,li1,231.3800,807.8400,1.799912
FILLER_293_473,VPWR,li1,225.8600,807.8400,1.799913
FILLER_293_461,VPWR,li1,220.3400,807.8400,1.799914
FILLER_293_449,VPWR,li1,214.8200,807.8400,1.799915
FILLER_293_447,VPWR,li1,211.3700,807.8400,1.799916
FILLER_293_441,VPWR,li1,209.7600,807.8400,1.799916
FILLER_293_429,VPWR,li1,205.6200,807.8400,1.799917
FILLER_293_417,VPWR,li1,200.1000,807.8400,1.799919
FILLER_293_405,VPWR,li1,194.5800,807.8400,1.799919
FILLER_293_393,VPWR,li1,189.0600,807.8400,1.799921
FILLER_293_380,VPWR,li1,183.0800,807.8400,1.799922
FILLER_293_368,VPWR,li1,177.5600,807.8400,1.799923
FILLER_293_249,VPWR,li1,120.7500,807.8400,1.799693
FILLER_293_237,VPWR,li1,117.3000,807.8400,1.799691
FILLER_293_225,VPWR,li1,111.7800,807.8400,1.799686
FILLER_293_223,VPWR,li1,108.3300,807.8400,1.799682
FILLER_293_211,VPWR,li1,105.3400,807.8400,1.799679
FILLER_293_199,VPWR,li1,99.8200,807.8400,1.799673
FILLER_293_187,VPWR,li1,94.3000,807.8400,1.799669
FILLER_293_175,VPWR,li1,88.7800,807.8400,1.799664
FILLER_293_166,VPWR,li1,82.3400,807.8400,1.799657
FILLER_293_133,VPWR,li1,67.1600,807.8400,1.799669
FILLER_293_89,VPWR,li1,47.1500,807.8400,1.799746
FILLER_293_55,VPWR,li1,31.0500,807.8400,1.799859
FILLER_293_51,VPWR,li1,29.9000,807.8400,1.799859
FILLER_293_39,VPWR,li1,26.2200,807.8400,1.799886
FILLER_293_27,VPWR,li1,20.7000,807.8400,1.799927
FILLER_293_15,VPWR,li1,15.1800,807.8400,1.799927
FILLER_293_3,VPWR,li1,9.6600,807.8400,1.799927
FILLER_292_1741,VPWR,li1,806.8400,807.8400,1.800000
FILLER_292_1733,VPWR,li1,804.5400,807.8400,1.800000
FILLER_292_1721,VPWR,li1,799.9400,807.8400,1.800000
FILLER_292_1709,VPWR,li1,794.4200,807.8400,1.800000
FILLER_292_1707,VPWR,li1,790.9700,807.8400,1.800000
FILLER_292_1701,VPWR,li1,789.3600,807.8400,1.800000
FILLER_292_1689,VPWR,li1,785.2200,807.8400,1.799999
FILLER_292_1677,VPWR,li1,779.7000,807.8400,1.799999
FILLER_292_1665,VPWR,li1,774.1800,807.8400,1.799999
FILLER_292_1653,VPWR,li1,768.6600,807.8400,1.799999
FILLER_292_1651,VPWR,li1,765.2100,807.8400,1.799998
FILLER_292_1645,VPWR,li1,763.6000,807.8400,1.799998
FILLER_292_1633,VPWR,li1,759.4600,807.8400,1.799998
FILLER_292_1621,VPWR,li1,753.9400,807.8400,1.799998
FILLER_292_1609,VPWR,li1,748.4200,807.8400,1.799998
FILLER_292_1597,VPWR,li1,742.9000,807.8400,1.799997
FILLER_292_1595,VPWR,li1,739.4500,807.8400,1.799997
FILLER_292_1589,VPWR,li1,737.8400,807.8400,1.799997
FILLER_292_1577,VPWR,li1,733.7000,807.8400,1.799997
FILLER_292_1565,VPWR,li1,728.1800,807.8400,1.799997
FILLER_292_1553,VPWR,li1,722.6600,807.8400,1.799997
FILLER_292_1541,VPWR,li1,717.1400,807.8400,1.799996
FILLER_292_1539,VPWR,li1,713.6900,807.8400,1.799996
FILLER_292_1533,VPWR,li1,712.0800,807.8400,1.799996
FILLER_292_1521,VPWR,li1,707.9400,807.8400,1.799996
FILLER_292_1509,VPWR,li1,702.4200,807.8400,1.799996
FILLER_292_1497,VPWR,li1,696.9000,807.8400,1.799995
FILLER_292_1485,VPWR,li1,691.3800,807.8400,1.799995
FILLER_292_1483,VPWR,li1,687.9300,807.8400,1.799995
FILLER_292_1477,VPWR,li1,686.3200,807.8400,1.799995
FILLER_292_1465,VPWR,li1,682.1800,807.8400,1.799995
FILLER_292_1453,VPWR,li1,676.6600,807.8400,1.799994
FILLER_292_1441,VPWR,li1,671.1400,807.8400,1.799994
FILLER_292_1429,VPWR,li1,665.6200,807.8400,1.799994
FILLER_292_1427,VPWR,li1,662.1700,807.8400,1.799994
FILLER_292_1421,VPWR,li1,660.5600,807.8400,1.799994
FILLER_292_1409,VPWR,li1,656.4200,807.8400,1.799994
FILLER_292_1397,VPWR,li1,650.9000,807.8400,1.799993
FILLER_292_1385,VPWR,li1,645.3800,807.8400,1.799993
FILLER_292_1373,VPWR,li1,639.8600,807.8400,1.799993
FILLER_292_1371,VPWR,li1,636.4100,807.8400,1.799993
FILLER_292_1365,VPWR,li1,634.8000,807.8400,1.799993
FILLER_292_1353,VPWR,li1,630.6600,807.8400,1.799989
FILLER_292_1341,VPWR,li1,625.1400,807.8400,1.799984
FILLER_292_1329,VPWR,li1,619.6200,807.8400,1.799981
FILLER_292_1317,VPWR,li1,614.1000,807.8400,1.799977
FILLER_292_1315,VPWR,li1,610.6500,807.8400,1.799973
FILLER_292_1309,VPWR,li1,609.0400,807.8400,1.799973
FILLER_292_1297,VPWR,li1,604.9000,807.8400,1.799969
FILLER_292_1285,VPWR,li1,599.3800,807.8400,1.799964
FILLER_292_1273,VPWR,li1,593.8600,807.8400,1.799961
FILLER_292_1261,VPWR,li1,588.3400,807.8400,1.799957
FILLER_292_1259,VPWR,li1,584.8900,807.8400,1.799953
FILLER_292_1253,VPWR,li1,583.2800,807.8400,1.799953
FILLER_292_1241,VPWR,li1,579.1400,807.8400,1.799949
FILLER_292_1229,VPWR,li1,573.6200,807.8400,1.799944
FILLER_292_1217,VPWR,li1,568.1000,807.8400,1.799941
FILLER_292_1205,VPWR,li1,562.5800,807.8400,1.799936
FILLER_292_1198,VPWR,li1,557.9800,807.8400,1.799934
FILLER_292_1191,VPWR,li1,553.6100,807.8400,1.799932
FILLER_292_1185,VPWR,li1,552.0000,807.8400,1.799932
FILLER_292_1173,VPWR,li1,547.8600,807.8400,1.799932
FILLER_292_1161,VPWR,li1,542.3400,807.8400,1.799932
FILLER_292_1149,VPWR,li1,536.8200,807.8400,1.799932
FILLER_292_1147,VPWR,li1,533.3700,807.8400,1.799931
FILLER_292_1143,VPWR,li1,532.2200,807.8400,1.799931
FILLER_292_1131,VPWR,li1,528.5400,807.8400,1.799931
FILLER_292_1119,VPWR,li1,523.0200,807.8400,1.799931
FILLER_292_1105,VPWR,li1,515.2000,807.8400,1.799931
FILLER_292_1093,VPWR,li1,511.0600,807.8400,1.799931
FILLER_292_1091,VPWR,li1,507.6100,807.8400,1.799931
FILLER_292_1083,VPWR,li1,505.5400,807.8400,1.799931
FILLER_292_1071,VPWR,li1,500.9400,807.8400,1.799931
FILLER_292_1061,VPWR,li1,494.0400,807.8400,1.799931
FILLER_292_1048,VPWR,li1,488.0600,807.8400,1.799935
FILLER_292_1037,VPWR,li1,483.4600,807.8400,1.799944
FILLER_292_1035,VPWR,li1,481.8500,807.8400,1.799944
FILLER_292_1020,VPWR,li1,475.6400,807.8400,1.799923
FILLER_292_1008,VPWR,li1,471.9600,807.8400,1.799911
FILLER_292_998,VPWR,li1,464.8300,807.8400,1.799888
FILLER_292_989,VPWR,li1,461.1500,807.8400,1.799884
FILLER_292_981,VPWR,li1,458.6200,807.8400,1.799879
FILLER_292_937,VPWR,li1,437.2300,807.8400,1.799848
FILLER_292_925,VPWR,li1,433.7800,807.8400,1.799845
FILLER_292_922,VPWR,li1,430.1000,807.8400,1.799843
FILLER_292_914,VPWR,li1,427.8000,807.8400,1.799841
FILLER_292_902,VPWR,li1,421.1300,807.8400,1.799836
FILLER_292_890,VPWR,li1,417.6800,807.8400,1.799835
FILLER_292_878,VPWR,li1,412.1600,807.8400,1.799833
FILLER_292_867,VPWR,li1,404.5700,807.8400,1.799834
