net,length_um
_14472_,71.78µm
_12310_,71.72µm
_04556_,71.7µm
clknet_leaf_182_clk,71.68µm
_10993_,71.64µm
_05389_,71.59µm
net2156,71.58µm
_04461_,71.44µm
net1275,71.31µm
_07971_,71.28µm
clknet_leaf_328_clk,71.22µm
clknet_leaf_346_clk,71.14µm
_10968_,71.06µm
_04037_,71µm
_06452_,70.98µm
_12203_,70.96µm
clknet_leaf_241_clk,70.9µm
clknet_leaf_294_clk,70.895µm
_13163_,70.77µm
clknet_leaf_170_clk,70.76µm
_13710_,70.74µm
_10485_,70.72µm
_10834_,70.66µm
_12236_,70.64µm
_12530_,70.62µm
clknet_leaf_165_clk,70.58µm
_10727_,70.54µm
_12422_,70.5µm
net1691,70.4µm
_04787_,70.38µm
_08757_,70.38µm
net1398,70.37µm
_11935_,70.285µm
chacha_unit.ciphertext\[414\],70.14µm
net1608,70.12µm
clknet_leaf_45_clk,70.12µm
_10457_,70.06µm
net910,70.04µm
_10443_,69.92µm
_10618_,69.92µm
_04560_,69.88µm
_05578_,69.88µm
_15556_,69.88µm
net10,69.78µm
clknet_leaf_97_clk,69.78µm
_12075_,69.66µm
_03997_,69.64µm
net1468,69.63µm
clknet_leaf_31_clk,69.6µm
_03022_,69.52µm
chacha_unit.key\[241\],69.5µm
net4031,69.5µm
clknet_leaf_242_clk,69.48µm
_15493_,69.46µm
_10871_,69.44µm
_10007_,69.4µm
_09674_,69.38µm
_15271_,69.37µm
_03128_,69.36µm
_09183_,69.29µm
net1476,69.21µm
_14132_,69.12µm
_10377_,69.06µm
_10429_,69.04µm
net62,68.92µm
_14405_,68.9µm
_08925_,68.88µm
_11792_,68.835µm
_08435_,68.82µm
_05532_,68.8µm
_13557_,68.8µm
net1959,68.78µm
net1518,68.755µm
_06070_,68.75µm
clknet_leaf_217_clk,68.72µm
net743,68.68µm
clknet_leaf_207_clk,68.64µm
chacha_unit.nonce\[17\],68.58µm
chacha_unit.key\[144\],68.56µm
clknet_leaf_159_clk,68.52µm
clknet_leaf_183_clk,68.5µm
_12188_,68.44µm
net1458,68.44µm
chacha_unit.U_QR_COL_3.in_a\[7\],68.42µm
_10306_,68.36µm
_11681_,68.36µm
_14694_,68.14µm
_03234_,68.1µm
_11028_,68.08µm
clknet_leaf_15_clk,68.08µm
_06081_,68.06µm
clknet_leaf_83_clk,68.02µm
_09362_,68µm
_05352_,67.96µm
_10035_,67.96µm
_03783_,67.94µm
_07428_,67.88µm
_05714_,67.86µm
_05332_,67.84µm
_11001_,67.82µm
net1454,67.77µm
_14000_,67.74µm
clknet_leaf_74_clk,67.705µm
net495,67.69µm
_04484_,67.68µm
net1520,67.68µm
_04099_,67.67µm
net1373,67.62µm
clknet_leaf_340_clk,67.54µm
_10947_,67.5µm
net29,67.48µm
_12444_,67.38µm
clknet_leaf_342_clk,67.36µm
_15340_,67.34µm
_09781_,67.2µm
_14493_,67.18µm
clknet_leaf_254_clk,67.18µm
_13357_,67.16µm
_04003_,67.14µm
_15614_,67.12µm
_15118_,67.1µm
_11327_,67.03µm
_12099_,67.03µm
_11115_,67.02µm
net1605,66.93µm
_03797_,66.9µm
_05296_,66.9µm
_12288_,66.9µm
_04533_,66.84µm
_10891_,66.84µm
_03221_,66.835µm
chacha_unit.ciphertext\[314\],66.82µm
net499,66.74µm
_12184_,66.68µm
_15007_,66.68µm
chacha_unit.key\[250\],66.62µm
clknet_leaf_109_clk,66.62µm
clknet_leaf_214_clk,66.6µm
net288,66.58µm
clknet_leaf_16_clk,66.56µm
chacha_unit.ciphertext\[81\],66.5µm
_11934_,66.49µm
_12808_,66.44µm
net18,66.44µm
_13718_,66.42µm
chacha_unit.key\[111\],66.42µm
clknet_leaf_48_clk,66.405µm
_12912_,66.36µm
_07036_,66.32µm
_09795_,66.3µm
_14962_,66.3µm
clknet_leaf_21_clk,66.26µm
_03006_,66.24µm
_04991_,66.23µm
clknet_leaf_149_clk,66.22µm
clknet_leaf_220_clk,66.22µm
_09128_,66.12µm
_08009_,66.1µm
_05070_,66.06µm
net1654,66.06µm
_12062_,66.02µm
_06006_,65.94µm
_11107_,65.94µm
chacha_unit.key\[52\],65.88µm
net4260,65.88µm
_03560_,65.86µm
clknet_leaf_158_clk,65.8µm
net1426,65.6µm
_03420_,65.54µm
_10091_,65.52µm
_10538_,65.48µm
_12319_,65.48µm
_13159_,65.44µm
_09488_,65.42µm
_15085_,65.38µm
_03765_,65.28µm
_15150_,65.28µm
net830,65.14µm
_13409_,65.06µm
_04559_,65.04µm
_06637_,65.04µm
_05774_,65.02µm
net1614,64.88µm
_07407_,64.86µm
_08537_,64.84µm
_11407_,64.8µm
_14676_,64.775µm
_03160_,64.71µm
_05564_,64.7µm
_04108_,64.6µm
clknet_leaf_98_clk,64.6µm
_15388_,64.58µm
_14959_,64.56µm
clknet_leaf_115_clk,64.54µm
_13509_,64.51µm
_11406_,64.46µm
_03978_,64.45µm
clknet_leaf_296_clk,64.42µm
clknet_leaf_314_clk,64.38µm
_08002_,64.34µm
_08146_,64.3µm
_14139_,64.295µm
chacha_unit.ciphertext\[85\],64.28µm
_05748_,64.26µm
clknet_leaf_26_clk,64.24µm
clknet_leaf_213_clk,64.08µm
_12795_,64.06µm
_05895_,64.04µm
net27,64µm
clknet_leaf_287_clk,63.98µm
_14657_,63.87µm
chacha_unit.key\[108\],63.835µm
_11666_,63.78µm
_05144_,63.74µm
_10828_,63.74µm
_13408_,63.74µm
_09519_,63.68µm
net1678,63.63µm
clknet_leaf_251_clk,63.58µm
_11672_,63.56µm
clknet_leaf_180_clk,63.5µm
_15015_,63.45µm
_14437_,63.42µm
_03163_,63.34µm
_04334_,63.34µm
_11986_,63.28µm
_14499_,63.25µm
_08104_,63.2µm
chacha_unit.nonce\[22\],63.2µm
clknet_leaf_371_clk,63.18µm
_11213_,63.12µm
clknet_leaf_224_clk,63.11µm
_10954_,63.04µm
_12103_,63.02µm
_06212_,63µm
_14519_,62.96µm
net69,62.84µm
_03559_,62.82µm
clknet_leaf_295_clk,62.795µm
_03384_,62.68µm
_10621_,62.66µm
_06818_,62.64µm
net4002,62.62µm
net1640,62.6µm
_03508_,62.58µm
_05015_,62.58µm
_03225_,62.57µm
_03029_,62.51µm
_04574_,62.44µm
in_state_ptr\[1\],62.44µm
_12724_,62.4µm
_08509_,62.38µm
clknet_leaf_77_clk,62.36µm
net1381,62.27µm
_04558_,62.12µm
_11021_,62.08µm
clknet_leaf_61_clk,62.08µm
_11837_,62.06µm
clknet_leaf_247_clk,61.92µm
_15322_,61.885µm
_10708_,61.82µm
_12629_,61.72µm
chacha_unit.ciphertext\[31\],61.66µm
net1581,61.62µm
_12781_,61.58µm
_05299_,61.46µm
_13385_,61.46µm
_11679_,61.38µm
_13490_,61.3µm
_07533_,61.22µm
net1487,61.21µm
_09229_,61.16µm
_07411_,61.14µm
_04335_,61.08µm
chacha_unit.key\[109\],60.98µm
clknet_leaf_202_clk,60.98µm
trng_inst.shift_reg\[24\],60.94µm
_03589_,60.84µm
_08086_,60.84µm
_08519_,60.78µm
_13743_,60.76µm
_03630_,60.74µm
_12798_,60.74µm
_14006_,60.74µm
_11948_,60.72µm
_09099_,60.68µm
_13330_,60.64µm
clknet_leaf_358_clk,60.62µm
_11995_,60.58µm
_03467_,60.54µm
_12642_,60.52µm
net1601,60.5µm
_05626_,60.42µm
_13749_,60.385µm
_15223_,60.375µm
net1638,60.33µm
_15125_,60.28µm
_04921_,60.26µm
_06089_,60.26µm
_03433_,60.2µm
_10397_,60.18µm
_15594_,60.18µm
_03158_,60.16µm
_04897_,60.16µm
clknet_leaf_50_clk,60.16µm
clknet_leaf_80_clk,60.14µm
_14551_,59.94µm
clknet_leaf_293_clk,59.86µm
_03474_,59.82µm
_04583_,59.77µm
_14988_,59.58µm
_04607_,59.5µm
net1289,59.5µm
_12837_,59.49µm
_14365_,59.46µm
clknet_leaf_163_clk,59.44µm
_13034_,59.42µm
_13388_,59.4µm
net1400,59.39µm
_06121_,59.38µm
net86,59.38µm
_04230_,59.34µm
_10995_,59.3µm
clknet_leaf_268_clk,59.28µm
_14194_,59.21µm
_03298_,59.19µm
_11688_,59.18µm
_10890_,59.08µm
clknet_leaf_174_clk,59.08µm
_04129_,59.06µm
_14512_,59.03µm
_09142_,59µm
_14734_,58.98µm
_04070_,58.92µm
_14288_,58.92µm
net1686,58.86µm
_04624_,58.76µm
_12269_,58.58µm
chacha_unit.ciphertext\[287\],58.52µm
_04095_,58.46µm
_06214_,58.46µm
_15227_,58.44µm
_12426_,58.38µm
_10670_,58.24µm
clknet_leaf_201_clk,58.2µm
_14919_,58.18µm
clknet_leaf_262_clk,58.16µm
_13486_,58.12µm
trng_data\[18\],58.04µm
_08953_,58.02µm
net49,58.02µm
_08058_,58µm
net1430,58µm
net1436,57.96µm
_12195_,57.9µm
_05251_,57.88µm
_14938_,57.86µm
net770,57.86µm
_08118_,57.84µm
_05597_,57.8µm
_07366_,57.78µm
chacha_unit.U_QR_COL_2.in_a\[5\],57.7µm
_08090_,57.66µm
net1567,57.65µm
_14341_,57.63µm
_05489_,57.62µm
net30,57.6µm
_11084_,57.54µm
_12336_,57.54µm
chacha_unit.key\[18\],57.52µm
_03509_,57.46µm
_15006_,57.41µm
_07628_,57.3µm
_14002_,57.3µm
clknet_leaf_305_clk,57.3µm
_05317_,57.28µm
chacha_unit.key\[251\],57.2µm
clknet_leaf_343_clk,57.2µm
_05462_,57.16µm
_06320_,57.16µm
_05304_,57.14µm
_14644_,57.05µm
_09997_,57.04µm
net180,57.02µm
_07359_,56.98µm
_14740_,56.94µm
_15077_,56.92µm
_10095_,56.82µm
_11990_,56.82µm
_07218_,56.8µm
_06315_,56.78µm
_14926_,56.775µm
_05468_,56.75µm
_13361_,56.74µm
_14918_,56.74µm
_11926_,56.66µm
_12729_,56.64µm
clknet_leaf_190_clk,56.64µm
_15296_,56.605µm
_13503_,56.6µm
net1597,56.59µm
_05910_,56.58µm
_15286_,56.52µm
chacha_unit.ciphertext\[84\],56.48µm
clknet_leaf_368_clk,56.48µm
net3985,56.44µm
_13570_,56.4µm
clknet_leaf_255_clk,56.36µm
net45,56.22µm
_05057_,56.18µm
_11677_,56.18µm
_05082_,56.17µm
_10383_,56.14µm
clknet_leaf_172_clk,56.1µm
_05281_,56.04µm
_03040_,56.02µm
_05572_,56µm
clknet_leaf_146_clk,55.96µm
temp_nonce\[72\],55.94µm
_14383_,55.92µm
clknet_leaf_244_clk,55.88µm
_14179_,55.87µm
_08059_,55.72µm
_14770_,55.71µm
_08523_,55.67µm
_07957_,55.58µm
_14418_,55.58µm
_04539_,55.47µm
_07261_,55.4µm
_03788_,55.34µm
_14908_,55.32µm
_12237_,55.3µm
_07841_,55.26µm
net70,55.26µm
_03782_,55.22µm
_15560_,55.21µm
_07052_,55.2µm
_06561_,55.18µm
clknet_leaf_323_clk,55.14µm
_15315_,55.12µm
_12177_,55.1µm
_07194_,55.08µm
_05405_,55.04µm
_15020_,55.02µm
_10843_,54.94µm
_15371_,54.88µm
net1618,54.86µm
_04549_,54.82µm
_10092_,54.82µm
_04327_,54.8µm
_04431_,54.78µm
_14854_,54.76µm
chacha_unit.ciphertext\[213\],54.76µm
net1837,54.76µm
_03590_,54.755µm
_12423_,54.72µm
_03438_,54.6µm
chacha_unit.U_QR_COL_2.in_a\[7\],54.6µm
net12,54.54µm
_11911_,54.52µm
_14776_,54.48µm
chacha_unit.nonce\[68\],54.44µm
_15585_,54.43µm
_11227_,54.42µm
_09534_,54.4µm
_09159_,54.26µm
_05555_,54.16µm
_10467_,54.16µm
net1891,54.16µm
_08709_,54.14µm
clknet_leaf_209_clk,54.08µm
chacha_unit.key\[25\],54.06µm
_03056_,54.02µm
_04552_,54µm
_06898_,53.98µm
_10975_,53.96µm
net1551,53.95µm
_12058_,53.94µm
_11068_,53.92µm
_03673_,53.88µm
net4169,53.88µm
_03393_,53.86µm
_06189_,53.84µm
net1570,53.75µm
_12541_,53.72µm
_12664_,53.68µm
chacha_unit.key\[246\],53.67µm
_14406_,53.65µm
_05785_,53.64µm
_12754_,53.62µm
_14876_,53.62µm
_13038_,53.6µm
_08491_,53.54µm
_08807_,53.54µm
_15375_,53.54µm
_03596_,53.53µm
_08303_,53.52µm
_14328_,53.52µm
_09484_,53.5µm
net1459,53.43µm
_09386_,53.42µm
_09446_,53.42µm
clknet_leaf_14_clk,53.415µm
net1669,53.41µm
chacha_unit.key\[69\],53.365µm
_10877_,53.34µm
_08939_,53.32µm
_04692_,53.28µm
_12491_,53.24µm
_05957_,53.22µm
_14930_,53.22µm
_03954_,53.18µm
chacha_unit.key\[195\],53.08µm
_10667_,53.06µm
_05715_,52.96µm
chacha_unit.key\[153\],52.94µm
net1684,52.89µm
clknet_leaf_376_clk,52.86µm
_06597_,52.82µm
net1315,52.66µm
net46,52.6µm
_08101_,52.56µm
clknet_leaf_134_clk,52.56µm
_11261_,52.52µm
_12280_,52.5µm
_13753_,52.48µm
_14507_,52.43µm
_09965_,52.42µm
_07750_,52.36µm
_11885_,52.34µm
_10884_,52.3µm
_12792_,52.28µm
net1553,52.24µm
net1456,52.14µm
_03900_,52.1µm
_09565_,52.08µm
_09791_,52.08µm
chacha_unit.ciphertext\[101\],52.04µm
_12210_,52.02µm
_04332_,51.98µm
_11693_,51.96µm
_13229_,51.96µm
_10869_,51.94µm
_10958_,51.9µm
net85,51.9µm
_04580_,51.8µm
_15204_,51.76µm
_13242_,51.74µm
_10895_,51.72µm
_14890_,51.68µm
_10934_,51.66µm
_04462_,51.56µm
net1386,51.56µm
_15005_,51.54µm
chacha_unit.key\[226\],51.54µm
clknet_leaf_81_clk,51.54µm
_07624_,51.52µm
_08796_,51.52µm
fsm_state\[3\],51.52µm
_05335_,51.51µm
net1877,51.5µm
_12051_,51.46µm
_10859_,51.42µm
clknet_leaf_73_clk,51.42µm
_14900_,51.36µm
_07278_,51.34µm
_14699_,51.26µm
_03426_,51.24µm
_08740_,51.22µm
_04204_,51.18µm
_13340_,51.18µm
_11097_,51.04µm
_13000_,51.02µm
_10734_,50.94µm
_10250_,50.9µm
_03620_,50.88µm
clknet_leaf_194_clk,50.84µm
_15283_,50.8µm
_12919_,50.795µm
net21,50.76µm
_08883_,50.72µm
_09316_,50.7µm
_13138_,50.7µm
_05533_,50.68µm
_09715_,50.68µm
clknet_leaf_22_clk,50.54µm
_09302_,50.5µm
net754,50.5µm
_06577_,50.48µm
chacha_unit.key\[57\],50.42µm
_05782_,50.34µm
_09932_,50.34µm
clknet_leaf_28_clk,50.34µm
_08869_,50.28µm
clknet_leaf_234_clk,50.28µm
_14814_,50.22µm
_12916_,50.12µm
_10760_,50.1µm
_13949_,50.095µm
_03472_,50.06µm
_06096_,50.05µm
_03690_,50.01µm
_12726_,50µm
_08449_,49.96µm
_04429_,49.9µm
_08255_,49.86µm
_10930_,49.86µm
_05217_,49.84µm
_10669_,49.82µm
_03375_,49.76µm
_13364_,49.7µm
_13565_,49.68µm
net1847,49.6µm
_05596_,49.48µm
_07845_,49.44µm
_09092_,49.4µm
_05186_,49.36µm
_11692_,49.28µm
chacha_unit.ciphertext\[474\],49.28µm
_06404_,49.25µm
clknet_leaf_192_clk,49.24µm
_05158_,49.22µm
_05669_,49.22µm
_09603_,49.16µm
_13575_,49.16µm
_10809_,49.14µm
_12930_,49.1µm
clknet_leaf_129_clk,49.08µm
_15039_,49.06µm
_11053_,49.02µm
net3699,49.02µm
_05285_,49.01µm
_11064_,48.98µm
_13415_,48.95µm
_14828_,48.87µm
_03479_,48.86µm
_03943_,48.84µm
_10983_,48.84µm
_12897_,48.83µm
_13527_,48.82µm
clknet_leaf_277_clk,48.82µm
net1862,48.78µm
_14530_,48.76µm
net1866,48.74µm
_11828_,48.7µm
_14393_,48.7µm
_03817_,48.68µm
_14844_,48.68µm
net508,48.68µm
_13766_,48.66µm
_04679_,48.62µm
_03928_,48.61µm
_15609_,48.6µm
clknet_leaf_353_clk,48.6µm
_11942_,48.59µm
_12192_,48.57µm
net1432,48.56µm
clknet_leaf_237_clk,48.56µm
_13258_,48.48µm
chacha_unit.nonce\[11\],48.48µm
net1403,48.405µm
_09729_,48.34µm
_12209_,48.32µm
_03940_,48.26µm
_10488_,48.24µm
_12949_,48.24µm
_05765_,48.14µm
_09702_,48.14µm
_14377_,48.12µm
_11669_,48.06µm
_14855_,48.06µm
_08174_,48.04µm
_04252_,48µm
_06532_,47.94µm
net61,47.94µm
net1607,47.92µm
clknet_leaf_36_clk,47.9µm
_04809_,47.88µm
_04430_,47.86µm
_09198_,47.8µm
_15293_,47.8µm
_15359_,47.78µm
chacha_unit.key\[219\],47.76µm
clknet_leaf_377_clk,47.74µm
net1801,47.72µm
_08391_,47.68µm
_15307_,47.66µm
_03834_,47.59µm
_15622_,47.58µm
clknet_leaf_72_clk,47.54µm
_14182_,47.535µm
_10918_,47.46µm
_05340_,47.44µm
_04674_,47.38µm
_15240_,47.28µm
_10800_,47.26µm
_04576_,47.24µm
_12421_,47.24µm
_11332_,47.22µm
_12690_,47.22µm
chacha_unit.ciphertext\[277\],47.2µm
net1788,47.18µm
_04190_,47.08µm
_04324_,47µm
_11037_,47µm
_06419_,46.98µm
_04368_,46.88µm
_09837_,46.88µm
_09951_,46.86µm
_14414_,46.84µm
_05188_,46.76µm
_05424_,46.74µm
_12684_,46.74µm
_07670_,46.64µm
_10398_,46.64µm
_06326_,46.56µm
_03583_,46.54µm
_12108_,46.54µm
_12074_,46.53µm
chacha_unit.ciphertext\[82\],46.52µm
net4122,46.48µm
_05059_,46.47µm
_14747_,46.46µm
chacha_unit.nonce\[2\],46.46µm
_04188_,46.42µm
_10994_,46.38µm
_11927_,46.38µm
net1893,46.38µm
_04978_,46.37µm
_14531_,46.34µm
_13087_,46.32µm
_13316_,46.32µm
_08505_,46.28µm
_13170_,46.26µm
_12531_,46.22µm
_12907_,46.2µm
_13763_,46.16µm
net1449,46.15µm
_05190_,46.06µm
net1493,46.06µm
net1884,46.04µm
net1444,46.03µm
_04992_,46.005µm
chacha_unit.ciphertext\[216\],46µm
_07222_,45.98µm
_08377_,45.98µm
_09876_,45.98µm
net4057,45.98µm
chacha_unit.ciphertext\[38\],45.86µm
_12493_,45.85µm
_04581_,45.84µm
_04699_,45.84µm
clknet_leaf_49_clk,45.84µm
_11312_,45.76µm
chacha_unit.key\[193\],45.76µm
_10053_,45.74µm
chacha_unit.ciphertext\[121\],45.72µm
net3428,45.72µm
_06412_,45.68µm
chacha_unit.key\[65\],45.67µm
_08876_,45.66µm
_11932_,45.56µm
_14566_,45.56µm
_04609_,45.46µm
_14772_,45.46µm
_14795_,45.44µm
net121,45.42µm
_09303_,45.4µm
_04681_,45.38µm
_08062_,45.38µm
net1799,45.38µm
_13564_,45.36µm
_15538_,45.29µm
_15100_,45.28µm
_00004_,45.22µm
_03493_,45.14µm
_11680_,45.14µm
clknet_leaf_79_clk,45.06µm
clknet_leaf_309_clk,45.06µm
_14155_,45.04µm
_14212_,44.99µm
_09879_,44.98µm
_12683_,44.92µm
_07506_,44.9µm
_10279_,44.9µm
net1428,44.89µm
_15602_,44.84µm
_08310_,44.82µm
_09952_,44.82µm
_13990_,44.76µm
_08666_,44.68µm
_06466_,44.64µm
_09548_,44.6µm
_03279_,44.55µm
_04890_,44.49µm
_14188_,44.49µm
_07555_,44.46µm
clknet_leaf_128_clk,44.44µm
_15411_,44.36µm
_05497_,44.34µm
_04578_,44.33µm
_05467_,44.32µm
_09966_,44.32µm
_04537_,44.305µm
_09750_,44.3µm
_07212_,44.28µm
_08982_,44.28µm
_10873_,44.28µm
net461,44.28µm
_05432_,44.26µm
_12966_,44.26µm
_04989_,44.24µm
_04084_,44.22µm
_07855_,44.22µm
_07712_,44.2µm
_14731_,44µm
clknet_leaf_311_clk,44µm
chacha_unit.key\[72\],43.955µm
_04437_,43.94µm
_12630_,43.9µm
_14749_,43.89µm
_04026_,43.88µm
_12956_,43.88µm
_06162_,43.86µm
_12848_,43.86µm
_14381_,43.86µm
_09215_,43.82µm
_12545_,43.82µm
_04930_,43.8µm
_06100_,43.76µm
_15553_,43.76µm
net26,43.76µm
_05628_,43.74µm
chacha_unit.ciphertext\[78\],43.74µm
_03431_,43.72µm
net1586,43.64µm
_03478_,43.62µm
_03437_,43.6µm
_13144_,43.6µm
_15029_,43.6µm
chacha_unit.key\[138\],43.58µm
_11799_,43.56µm
_10959_,43.54µm
_09742_,43.46µm
_04542_,43.44µm
_05441_,43.44µm
_10783_,43.4µm
chacha_unit.ciphertext\[278\],43.4µm
_13618_,43.34µm
_13997_,43.27µm
_12948_,43.22µm
_03447_,43.14µm
_05074_,43.12µm
chacha_unit.nonce\[18\],43.12µm
net4153,43.12µm
_14835_,43.08µm
_14941_,43.04µm
_03028_,42.98µm
_04928_,42.98µm
_14704_,42.94µm
_14123_,42.92µm
clknet_leaf_37_clk,42.92µm
_10942_,42.9µm
_11936_,42.9µm
_14823_,42.89µm
_15337_,42.89µm
net1405,42.86µm
_13442_,42.84µm
_04545_,42.82µm
_15403_,42.82µm
_07338_,42.75µm
_15144_,42.74µm
net1573,42.73µm
_14903_,42.72µm
_12208_,42.6µm
net1831,42.58µm
_03856_,42.565µm
_07135_,42.56µm
_04422_,42.54µm
_04428_,42.54µm
_12923_,42.54µm
_11239_,42.52µm
chacha_unit.ciphertext\[149\],42.5µm
_08279_,42.48µm
_14347_,42.46µm
clknet_leaf_208_clk,42.46µm
_05511_,42.42µm
chacha_unit.key\[224\],42.4µm
_04062_,42.39µm
clknet_leaf_151_clk,42.38µm
_13569_,42.37µm
_14654_,42.36µm
_09645_,42.32µm
chacha_unit.fsm_state\[1\],42.32µm
chacha_unit.key\[38\],42.32µm
_03845_,42.3µm
clknet_leaf_23_clk,42.3µm
clknet_leaf_238_clk,42.3µm
chacha_unit.ciphertext\[153\],42.28µm
chacha_unit.U_QR_COL_2.in_a\[6\],42.22µm
clknet_leaf_252_clk,42.21µm
_14262_,42.2µm
_08363_,42.18µm
_13372_,42.16µm
_08157_,42.06µm
_11324_,42.06µm
_05985_,42.05µm
_08750_,42.04µm
_09428_,42.02µm
_09862_,42.02µm
_05019_,41.97µm
_03896_,41.92µm
_05741_,41.92µm
_12760_,41.92µm
_15574_,41.92µm
clknet_leaf_126_clk,41.92µm
clknet_leaf_59_clk,41.91µm
_07831_,41.88µm
clknet_leaf_312_clk,41.84µm
chacha_unit.ciphertext\[307\],41.82µm
_03675_,41.74µm
_12661_,41.74µm
_08290_,41.72µm
clknet_leaf_378_clk,41.72µm
net4143,41.68µm
_07463_,41.64µm
_12656_,41.64µm
_14369_,41.64µm
_12709_,41.62µm
_06221_,41.58µm
_14871_,41.58µm
trng_inst.trng_request,41.58µm
net6,41.58µm
trng_inst.ready,41.52µm
clknet_leaf_289_clk,41.5µm
_03494_,41.48µm
_13632_,41.48µm
_04622_,41.46µm
_04836_,41.46µm
_05946_,41.46µm
_15304_,41.39µm
chacha_unit.key\[104\],41.39µm
_13786_,41.32µm
_04839_,41.3µm
_03352_,41.26µm
clknet_leaf_145_clk,41.24µm
_10222_,41.22µm
net4145,41.18µm
_04811_,41.16µm
_04938_,41.16µm
_13083_,41.14µm
_04669_,41.12µm
_06384_,41.12µm
_08492_,41.12µm
_12245_,41.08µm
_14599_,41.08µm
_09211_,41.04µm
_04840_,41.02µm
_03106_,41µm
_04177_,40.98µm
_11776_,40.98µm
clknet_leaf_118_clk,40.96µm
_15232_,40.94µm
_06962_,40.88µm
_14992_,40.82µm
_15358_,40.79µm
_07681_,40.78µm
_12685_,40.78µm
_13421_,40.78µm
in_state_ptr\[0\],40.78µm
_05423_,40.74µm
_12225_,40.74µm
_14331_,40.74µm
clknet_leaf_290_clk,40.7µm
_03696_,40.64µm
_05307_,40.6µm
net1844,40.6µm
_04516_,40.58µm
_12697_,40.58µm
_07520_,40.54µm
_10741_,40.52µm
_05736_,40.5µm
_04442_,40.44µm
_12786_,40.44µm
_09141_,40.42µm
chacha_unit.ciphertext\[214\],40.4µm
_03523_,40.34µm
clknet_leaf_253_clk,40.32µm
_04400_,40.26µm
_09066_,40.26µm
_15190_,40.25µm
_09939_,40.2µm
_06358_,40.18µm
_05459_,40.14µm
_10701_,40.12µm
_13346_,40.1µm
_09317_,40.08µm
_12727_,40.08µm
chacha_unit.key\[234\],40.06µm
_13548_,40.02µm
_04621_,39.98µm
_07597_,39.98µm
_14846_,39.96µm
_15079_,39.96µm
_13147_,39.92µm
_15485_,39.875µm
_08548_,39.86µm
net1859,39.8µm
_04775_,39.78µm
_06885_,39.72µm
_15608_,39.68µm
_05559_,39.66µm
_12654_,39.66µm
_10666_,39.64µm
_11319_,39.64µm
_10081_,39.6µm
_04630_,39.59µm
_03942_,39.58µm
chacha_unit.ciphertext\[97\],39.58µm
_08346_,39.56µm
_10821_,39.56µm
chacha_unit.ciphertext\[404\],39.56µm
_04788_,39.54µm
_07250_,39.52µm
_13027_,39.44µm
trng_inst.shift_reg\[11\],39.44µm
chacha_unit.nonce\[20\],39.4µm
_11189_,39.36µm
net1628,39.35µm
_03460_,39.34µm
_11065_,39.3µm
net1828,39.24µm
net4168,39.22µm
_12779_,39.2µm
_12112_,39.12µm
_03415_,39.1µm
_14438_,39.08µm
clknet_leaf_144_clk,39.08µm
_03442_,39.035µm
_03669_,39.02µm
_03412_,39.01µm
_04826_,39µm
_05316_,39µm
_14286_,38.98µm
_03486_,38.96µm
_04295_,38.96µm
_09958_,38.96µm
net24,38.96µm
_05620_,38.92µm
_15325_,38.89µm
_14765_,38.86µm
chacha_unit.key\[37\],38.84µm
_04861_,38.82µm
_15458_,38.78µm
out_state_ptr\[0\],38.775µm
_03651_,38.74µm
_11477_,38.74µm
_15354_,38.74µm
_12704_,38.73µm
net1,38.72µm
_12728_,38.7µm
_05011_,38.66µm
_07190_,38.66µm
chacha_unit.key\[90\],38.63µm
_08534_,38.62µm
_08824_,38.62µm
_12968_,38.62µm
_13030_,38.6µm
_03216_,38.58µm
_03962_,38.58µm
_10720_,38.58µm
_13701_,38.58µm
_04138_,38.56µm
_06852_,38.56µm
_14875_,38.48µm
_05773_,38.46µm
net3919,38.44µm
_05212_,38.42µm
_04594_,38.3µm
_04433_,38.26µm
_14229_,38.245µm
_03951_,38.24µm
_08332_,38.24µm
_12342_,38.215µm
_04374_,38.18µm
_13994_,38.17µm
_04714_,38.16µm
_15521_,38.06µm
_11951_,38.02µm
_13413_,38.02µm
_10848_,37.98µm
_05570_,37.96µm
_06181_,37.92µm
_08276_,37.835µm
_09013_,37.82µm
_10021_,37.82µm
_12943_,37.82µm
chacha_unit.ciphertext\[114\],37.82µm
clknet_leaf_70_clk,37.82µm
_14462_,37.76µm
_14949_,37.76µm
_12777_,37.72µm
_14736_,37.72µm
_03096_,37.7µm
_08547_,37.68µm
_14591_,37.66µm
net1522,37.655µm
_08349_,37.62µm
_12187_,37.57µm
_04353_,37.56µm
_09309_,37.56µm
_14829_,37.52µm
_13558_,37.51µm
_13554_,37.48µm
clknet_leaf_317_clk,37.48µm
_04091_,37.44µm
_10282_,37.44µm
_10293_,37.44µm
_13198_,37.44µm
clknet_leaf_221_clk,37.44µm
_05464_,37.42µm
_10941_,37.42µm
_11939_,37.38µm
_04404_,37.32µm
clknet_leaf_199_clk,37.32µm
_08764_,37.3µm
_14541_,37.3µm
_12842_,37.26µm
_04687_,37.23µm
_03411_,37.18µm
_12168_,37.18µm
chacha_unit.key\[71\],37.105µm
net4028,37.06µm
chacha_unit.key\[89\],37.05µm
_05425_,37.04µm
_12946_,37.02µm
_15378_,36.98µm
_15483_,36.98µm
clknet_leaf_137_clk,36.92µm
_03987_,36.9µm
_11335_,36.88µm
net1584,36.86µm
_12504_,36.78µm
