net,length_um
chacha_unit.U_QR_COL_1.in_b\[29\],438.69µm
chacha_unit.U_QR_COL_2.in_b\[17\],437.09µm
chacha_unit.U_QR_COL_1.in_d\[24\],437.075µm
chacha_unit.U_QR_COL_0.in_c\[21\],437.02µm
_13869_,436.3µm
net1057,436.2µm
net694,436.16µm
_15303_,435.42µm
net163,435.34µm
_07026_,435.33µm
_12677_,435.14µm
net551,434.83µm
chacha_unit.U_QR_COL_3.in_c\[26\],434.51µm
clknet_5_15__leaf_clk,433.86µm
net628,433.09µm
net644,432.34µm
net363,431.67µm
_04870_,431.64µm
net308,431.59µm
net690,431.14µm
chacha_unit.U_QR_COL_2.in_b\[20\],430.02µm
trng_inst.shift_reg\[23\],429.3µm
_04489_,429.27µm
net1759,428.99µm
_11295_,428.33µm
_11283_,428.26µm
net573,427.975µm
net1069,427.74µm
chacha_unit.U_QR_COL_1.in_a\[9\],426.52µm
clknet_5_1__leaf_clk,426.52µm
net539,425.76µm
_06837_,424.98µm
net1251,424.7µm
_06398_,424.23µm
_11851_,424.01µm
chacha_unit.key\[188\],422.95µm
chacha_unit.U_QR_COL_0.in_b\[25\],421.445µm
chacha_unit.U_QR_COL_3.in_d\[16\],420.32µm
clknet_5_0__leaf_clk,420.26µm
net571,420.08µm
net421,419.95µm
net719,419.45µm
chacha_unit.U_QR_COL_1.in_a\[12\],419.1µm
net767,419.04µm
_14839_,418.83µm
_11296_,418.62µm
chacha_unit.U_QR_COL_0.in_c\[23\],418.53µm
net243,418.42µm
_05843_,418.04µm
net231,417.95µm
net1254,417.83µm
net346,417.3µm
_03024_,417.24µm
_05665_,417.19µm
net210,417.18µm
clknet_5_27__leaf_clk,417.12µm
_12909_,416.84µm
_06396_,415.9µm
net821,415.88µm
net673,415.47µm
net347,415.26µm
net222,415.12µm
_14869_,414.38µm
_02998_,413.75µm
_05109_,413.7µm
_04698_,413.69µm
net1060,413.66µm
net659,413.15µm
net411,412.34µm
_11715_,412.22µm
net1246,412.13µm
net353,411.84µm
_12622_,411.46µm
chacha_unit.nonce\[43\],410.84µm
chacha_unit.nonce\[60\],409.82µm
chacha_unit.U_QR_COL_0.in_d\[16\],409.545µm
_05925_,409.24µm
_15218_,408.58µm
chacha_unit.nonce\[62\],408.47µm
_09823_,408.31µm
net894,408.28µm
_14559_,408.23µm
clknet_5_21__leaf_clk,407.69µm
net1200,407.56µm
chacha_unit.U_QR_COL_3.in_b\[9\],407.12µm
net961,405.95µm
net305,405.26µm
_12467_,404.74µm
net790,404.62µm
chacha_unit.U_QR_COL_3.in_b\[16\],404.4µm
net408,404.38µm
net204,404.14µm
net720,403.53µm
_03721_,403.47µm
_07077_,403.32µm
net1748,403.22µm
_14626_,402.91µm
net1119,402.58µm
net669,401.82µm
net530,401.735µm
_04071_,401.57µm
net319,400.79µm
chacha_unit.U_QR_COL_1.in_b\[18\],400.555µm
_03054_,400.51µm
net1259,400.5µm
net358,400.08µm
_05132_,399.78µm
net1021,398.91µm
fsm_state\[4\],398.87µm
net355,398.58µm
_04888_,398.45µm
chacha_unit.U_QR_COL_2.in_b\[5\],398.42µm
_05135_,398.34µm
_12605_,397.66µm
clknet_5_28__leaf_clk,397.52µm
net1025,397.03µm
chacha_unit.nonce\[9\],397.02µm
net336,396.99µm
net1263,396.34µm
_11274_,396.31µm
_04495_,395.74µm
net402,395.36µm
_12468_,395.22µm
net1078,395.19µm
net907,395.16µm
net309,394.86µm
_05040_,394.75µm
chacha_unit.U_QR_COL_0.in_b\[27\],394.155µm
chacha_unit.nonce\[8\],393.86µm
net418,393.75µm
_11723_,393.54µm
chacha_unit.U_QR_COL_1.in_b\[14\],393.475µm
_05652_,393.44µm
chacha_unit.U_QR_COL_3.in_a\[27\],393.34µm
net727,393.34µm
net317,392.9µm
_12953_,392.75µm
chacha_unit.U_QR_COL_3.in_c\[19\],392.64µm
_06127_,392.56µm
net718,392.32µm
chacha_unit.key\[190\],392.2µm
net841,391.4µm
clknet_5_20__leaf_clk,391.27µm
_06625_,390.81µm
net326,389.84µm
net335,389.58µm
net1365,389.44µm
_05861_,388.8µm
chacha_unit.nonce\[50\],388.7µm
_05043_,388.62µm
_03641_,388.55µm
_06294_,388.41µm
net672,387.74µm
_13873_,387.46µm
_05838_,387.05µm
chacha_unit.U_QR_COL_3.in_a\[30\],386.94µm
_12929_,386.59µm
net325,386.53µm
clknet_5_14__leaf_clk,385.94µm
net344,385.46µm
_05113_,385.33µm
chacha_unit.U_QR_COL_1.in_d\[7\],385.105µm
